kappa_target,kappa_actual,run_id,method,mse,support_recall,support_precision,rel_err
200,173.27195806924377,1,Ridge,0.07520254547053731,1.0,0.2,0.47289749089274596
200,139.42135356163854,2,EN_Fixed,6.342124817220666e-06,1.0,0.25,0.0037780703799627224
200,139.42135356163854,2,EN_Dynamic,0.3658474686397434,0.5,1.0,0.9074081563537527
200,139.42135356163854,2,OMP,2.2494861750442914e-32,1.0,1.0,2.2500611217253047e-16
200,139.42135356163854,2,Lasso,4.4618766932833243e-07,1.0,0.4,0.0010021008569181596
200,139.42135356163854,2,Ridge,0.008089628421442955,1.0,0.2,0.13493261538294352
200,175.39061570027854,3,EN_Fixed,3.255422685086967e-09,1.0,0.5,6.919280593077395e-05
200,175.39061570027854,3,EN_Dynamic,0.675486155290143,0.5,1.0,0.9967023356233647
200,175.39061570027854,3,OMP,4.930380657631324e-33,1.0,1.0,8.51525141896907e-17
200,175.39061570027854,3,Lasso,2.8227775814104228e-09,1.0,0.6666666666666666,6.443110500995685e-05
200,175.39061570027854,3,Ridge,0.28195471692815144,1.0,0.2,0.6439422668705659
200,72.15985427134599,4,EN_Fixed,0.0007130014909863586,1.0,0.2857142857142857,0.02648083449927519
200,72.15985427134599,4,EN_Dynamic,0.8540358384190903,0.5,0.5,0.9164831736388809
200,72.15985427134599,4,OMP,2.09611603532496e-32,1.0,1.0,1.4358005263676149e-16
200,72.15985427134599,4,Lasso,1.7303238628108887e-05,1.0,0.2857142857142857,0.004125248799825127
200,72.15985427134599,4,Ridge,0.22199737032658481,1.0,0.2,0.4672618918906167
200,187.1280272707422,5,EN_Fixed,2.1013939663923375e-10,1.0,1.0,1.7230554516160348e-05
200,187.1280272707422,5,EN_Dynamic,0.7077974156107507,0.0,0.0,1.0
200,187.1280272707422,5,OMP,0.06815400111368602,0.5,0.25,0.3103067281942286
200,187.1280272707422,5,Lasso,2.910447507132125e-10,1.0,1.0,2.0278013091310782e-05
200,187.1280272707422,5,Ridge,0.03240337347212434,1.0,0.2,0.21396395989283382
200,146.12967122601927,6,EN_Fixed,7.121262815485072e-09,1.0,0.3333333333333333,0.00015756432165086096
200,146.12967122601927,6,EN_Dynamic,0.28684101189046596,0.0,0.0,1.0
200,146.12967122601927,6,OMP,4.930380657631324e-32,1.0,1.0,4.145907445323905e-16
200,146.12967122601927,6,Lasso,1.2595309303668294e-10,1.0,1.0,2.095481328816561e-05
200,146.12967122601927,6,Ridge,0.16173797896778802,1.0,0.2,0.7509056689614262
200,116.90939935771594,7,EN_Fixed,7.312124216079441e-11,1.0,0.6666666666666666,2.9008383684943894e-05
200,116.90939935771594,7,EN_Dynamic,0.08689534229396671,0.0,0.0,1.0
200,116.90939935771594,7,OMP,2.465190328815662e-33,1.0,1.0,1.6843292028001446e-16
200,116.90939935771594,7,Lasso,3.4510133174432023e-10,1.0,1.0,6.301951673467774e-05
200,116.90939935771594,7,Ridge,0.0034160097371692573,1.0,0.2,0.1982719604705852
200,152.88602632910192,8,EN_Fixed,5.406029626310524e-09,1.0,1.0,0.00010524936075493933
200,152.88602632910192,8,EN_Dynamic,0.47953836346692424,0.5,1.0,0.9912699353605249
200,152.88602632910192,8,OMP,0.24006620271177562,0.5,0.25,0.7013677098071494
200,152.88602632910192,8,Lasso,3.885799893672816e-09,1.0,1.0,8.92319681432517e-05
200,152.88602632910192,8,Ridge,0.05653800533049534,1.0,0.2,0.340369390760869
200,136.05548596666426,9,EN_Fixed,0.7133883176651442,1.0,0.2857142857142857,0.8638222010763904
200,136.05548596666426,9,EN_Dynamic,0.9560426561965054,0.0,0.0,1.0
200,136.05548596666426,9,OMP,6.081946696144413e-29,1.0,1.0,7.975954537595283e-15
200,136.05548596666426,9,Lasso,1.1118285540969355,1.0,0.2857142857142857,1.0784009873259568
200,136.05548596666426,9,Ridge,0.4613716293933615,1.0,0.2,0.6946832186172727
200,115.37053483704491,10,EN_Fixed,4.968829109238103e-11,1.0,0.6666666666666666,9.915434409595153e-06
200,115.37053483704491,10,EN_Dynamic,0.46811057371884635,1.0,0.5,0.962407372699517
200,115.37053483704491,10,OMP,8.685201808963115e-31,1.0,1.0,1.3109154225720925e-15
200,115.37053483704491,10,Lasso,4.7660864131414515e-11,1.0,0.6666666666666666,9.711038409873505e-06
200,115.37053483704491,10,Ridge,0.07089722451582486,1.0,0.2,0.3745409715118416
200,162.98019875629322,11,EN_Fixed,6.502061634456798e-09,1.0,0.3333333333333333,7.8478773499479e-05
200,162.98019875629322,11,EN_Dynamic,0.9626809001002856,1.0,0.5,0.9549218786745886
200,162.98019875629322,11,OMP,4.930380657631324e-33,1.0,1.0,6.833872809995461e-17
200,162.98019875629322,11,Lasso,9.005695774783076e-11,1.0,0.6666666666666666,9.236029300314305e-06
200,162.98019875629322,11,Ridge,0.3952205459115986,1.0,0.2,0.611852054914877
200,123.84882167349055,12,EN_Fixed,1.9765339405393816e-11,1.0,0.5,1.1106222034725568e-05
200,123.84882167349055,12,EN_Dynamic,0.16024023497358905,0.0,0.0,1.0
200,123.84882167349055,12,OMP,7.703719777548943e-33,1.0,1.0,2.192625456160555e-16
200,123.84882167349055,12,Lasso,1.1509258950942054e-10,1.0,1.0,2.6800191309783903e-05
200,123.84882167349055,12,Ridge,0.001464720325658112,1.0,0.2,0.09560741312883327
200,149.34224395356284,13,EN_Fixed,3.709932912925136e-11,1.0,0.5,2.2002604670341288e-05
200,149.34224395356284,13,EN_Dynamic,0.07663335951496916,0.0,0.0,1.0
200,149.34224395356284,13,OMP,2.465190328815662e-33,1.0,1.0,1.7935615918865803e-16
200,149.34224395356284,13,Lasso,2.91428329812882e-11,1.0,1.0,1.9501003094184297e-05
200,149.34224395356284,13,Ridge,0.008772701324393745,1.0,0.2,0.33834342348048796
200,138.8519278023006,14,EN_Fixed,5.288755380924025e-06,1.0,0.5,0.001979081765952039
200,138.8519278023006,14,EN_Dynamic,1.3502867473517361,0.0,0.0,1.0
200,138.8519278023006,14,OMP,0.998735804924712,0.5,0.25,0.8600274384298011
200,138.8519278023006,14,Lasso,5.582694212946959e-09,1.0,0.5,6.429969569716622e-05
200,138.8519278023006,14,Ridge,0.5208519342350485,1.0,0.2,0.6210751287181748
200,152.10240276706722,15,EN_Fixed,4.188326150777326e-10,1.0,1.0,7.201270405570005e-05
200,152.10240276706722,15,EN_Dynamic,0.08076482487707934,0.0,0.0,1.0
200,152.10240276706722,15,OMP,2.465190328815662e-33,1.0,1.0,1.7470852606054347e-16
200,152.10240276706722,15,Lasso,4.278971892627761e-10,1.0,1.0,7.278779931438216e-05
200,152.10240276706722,15,Ridge,0.03284561639818979,1.0,0.2,0.6377163920689789
200,122.85748117480996,16,EN_Fixed,6.6453386784715156e-12,1.0,1.0,2.990769753216821e-06
200,122.85748117480996,16,EN_Dynamic,0.607574819119894,1.0,0.3333333333333333,0.9043245129749083
200,122.85748117480996,16,OMP,1.9721522630525296e-32,1.0,1.0,1.6292759285745502e-16
200,122.85748117480996,16,Lasso,6.424211663034815e-12,1.0,1.0,2.940589084400678e-06
200,122.85748117480996,16,Ridge,0.1777960988019022,1.0,0.2,0.48919896975862776
200,219.3862807469431,17,EN_Fixed,2.0839150393326002e-10,1.0,1.0,2.2252193104339356e-05
200,219.3862807469431,17,EN_Dynamic,0.42085681943039177,0.0,0.0,1.0
