cond,trial,method,rec_n,rec_d,recovery_rate,rel_err,r2,mse,nmse,lambda1,lambda2
100,0,EN_manual,2,4,0.4999999999875,0.988754370158561,-0.2097114662454722,3.979454530911744,0.9878197047290523,0.0006105402296585328,0.0054948620669267945
100,0,Ridge,4,4,0.999999999975,0.9885336417226652,-0.20746173729270678,3.972053845439041,0.9859826331199534,0.0006105402296585328,0.0054948620669267945
100,1,sparseho_EN,4,4,0.999999999975,0.9760590058005516,-0.17921323756034613,9.276969969046249,0.9605795398891993,0.0006105402296585328,0.0054948620669267945
100,1,HPP_sparseho,4,4,0.999999999975,0.969943209925112,-0.1661939620997428,9.174546231235576,0.9499741216041142,0.0006105402296585328,0.0054948620669267945
100,1,EN_manual,4,4,0.999999999975,0.9853086635028871,-0.19499725116948086,9.401144134989215,0.9734370961371562,0.0006105402296585328,0.0054948620669267945
100,1,Ridge,4,4,0.999999999975,0.985103465054336,-0.196025004797026,9.409229559435467,0.974274297650183,0.0006105402296585328,0.0054948620669267945
100,2,sparseho_EN,3,4,0.74999999998125,0.9594187788089975,-0.08051776638795216,6.662944911760261,0.9499734122049861,0.0054948620669267945,0.0006105402296585326
100,2,HPP_sparseho,2,4,0.4999999999875,0.9880498190565619,-0.0825133812978176,6.67525074570686,0.9517279239440289,0.0054948620669267945,0.0006105402296585326
100,2,EN_manual,3,4,0.74999999998125,1.008615571917467,-0.1222114558885139,6.920046428229483,0.9866298168605694,0.0054948620669267945,0.0006105402296585326
100,2,Ridge,4,4,0.999999999975,1.0148442105548692,-0.12331567198214288,6.926855507387084,0.9876006254515128,0.0054948620669267945,0.0006105402296585326
100,3,sparseho_EN,2,4,0.4999999999875,0.9941191496600597,-0.16505383229162973,10.346307435412351,0.9815530041722309,0.02846049894151541,0.0031622776601683785
100,3,HPP_sparseho,3,4,0.74999999998125,0.9852800702410305,-0.1523084705515083,10.23312173764982,0.9708150899587127,0.02846049894151541,0.0031622776601683785
100,3,EN_manual,2,4,0.4999999999875,0.9952224040314078,-0.170979668970467,10.398932066473986,0.9865454969078719,0.02846049894151541,0.0031622776601683785
100,3,Ridge,4,4,0.999999999975,0.9894927667009311,-0.17000836899530758,10.390306397962824,0.9857271807218336,0.02846049894151541,0.0031622776601683785
100,4,sparseho_EN,4,4,0.999999999975,0.9611925168701576,-0.12293979748939421,8.180991621429502,0.9449019666836811,0.06477171057010368,0.007196856730011519
100,4,HPP_sparseho,4,4,0.999999999975,0.957524649630013,-0.11570695032792289,8.128297913218812,0.9388158599103024,0.06477171057010368,0.007196856730011519
100,4,EN_manual,4,4,0.999999999975,0.9724687899457887,-0.14652701597407192,8.352832389053376,0.9647495214542922,0.06477171057010368,0.007196856730011519
100,4,Ridge,4,4,0.999999999975,0.9730488011100114,-0.1497282254533301,8.376154269698095,0.9674431913549228,0.06477171057010368,0.007196856730011519
100,5,sparseho_EN,4,4,0.999999999975,0.9612863207756376,-0.09989533451234123,5.839065610450184,0.946027435641839,0.0001593092148252352,6.827537778224367e-05
100,5,HPP_sparseho,3,4,0.74999999998125,0.9950801388299597,-0.12331829846736064,5.963412190559287,0.9661736857714686,0.0001593092148252352,6.827537778224367e-05
100,5,EN_manual,4,4,0.999999999975,1.0011285889159987,-0.14650930948645136,6.086527391309896,0.9861204316080252,0.0001593092148252352,6.827537778224367e-05
100,5,Ridge,4,4,0.999999999975,1.0035206878091316,-0.14734252106827372,6.090950700456675,0.9868370825395868,0.0001593092148252352,6.827537778224367e-05
100,6,sparseho_EN,3,4,0.74999999998125,0.986663033881344,-0.140987008246235,8.02876562180062,0.9661951699581673,0.02846049894151541,0.0031622776601683785
100,6,HPP_sparseho,4,4,0.999999999975,0.967511725337764,-0.13535804783990324,7.98915640322915,0.9614285299200455,0.02846049894151541,0.0031622776601683785
100,6,EN_manual,3,4,0.74999999998125,0.9934292478710467,-0.16465574465756183,8.195315052983723,0.9862380088637457,0.02846049894151541,0.0031622776601683785
100,6,Ridge,4,4,0.999999999975,0.9903088699864591,-0.16463321035630973,8.195156486214866,0.986218926671862,0.02846049894151541,0.0031622776601683785
