src_type,sparsity,noise_level,run_id,method,track,m,n,n_zero_cols,mse,support_recall,support_precision,rel_err,smooth_err,corr,obs_mse,unobs_mse,obs_relerr,unobs_relerr,unobs_true_norm,unobs_est_norm
pure_sparse,0.7921363484103814,0.01,2,Lasso,phits,8,12,5,279562.6006533731,0.3333333333333333,0.2,594.2043067054009,1.3446525741410262,0.0003344951111759933,479249.0870349502,1.5197191651464295,1327.791269913385,1.0,2.756555064883005,0.0
pure_sparse,0.7921363484103814,0.01,2,Ridge,phits,8,12,5,387124.26917359605,0.3333333333333333,0.14285714285714285,699.2322626580002,1.3437976391169664,0.0002838972937196802,663640.5187839037,1.5197191651464295,1562.4841080241401,1.0,2.756555064883005,0.0
pure_sparse,0.7921363484103814,0.01,2,OMP,phits,8,12,5,54439.99826347503,0.3333333333333333,0.25,262.21365885318465,1.3452555611859005,0.00075867223347996,93324.62579512496,1.5197191651464295,585.9320987908582,1.0,2.756555064883005,0.0
pure_sparse,0.7436444753302229,0.01,3,EN,phits,8,12,5,2297.7058852161485,0.5,0.5,38.54941744248766,112.17980900631295,0.6764188345895563,3938.748097209911,0.24678842488141325,39.898091242715594,1.0,1.1108294758454451,0.0
pure_sparse,0.7436444753302229,0.01,3,Lasso,phits,8,12,5,2295.7748165324797,0.5,0.6666666666666666,38.533214929222744,112.1332712878717,0.6764194080244083,3935.437693752193,0.24678842488141325,39.88132112443062,1.0,1.1108294758454451,0.0
pure_sparse,0.7436444753302229,0.01,3,Ridge,phits,8,12,5,15595.433868094644,0.75,0.42857142857142855,100.43135723028641,336.25841039172064,-0.5044540939701883,26734.8532107159,0.24678842488141325,103.94698999985208,1.0,1.1108294758454451,0.0
pure_sparse,0.7436444753302229,0.01,3,OMP,phits,8,12,5,2316.2492984309397,0.5,0.5,38.70465952867715,112.62565047201372,0.676413334069416,3970.536805578124,0.24678842488141325,40.05877174008493,1.0,1.1108294758454451,0.0
pure_sparse,0.7748326123529816,0.01,4,EN,phits,8,12,5,4.600282531298226,0.6666666666666666,0.6666666666666666,3.2190852833833308,0.24345958248833227,0.1021403524830721,7.573338986153044,0.4380034945014789,4.110752311947201,1.0,1.4798707620962699,0.0
pure_sparse,0.7748326123529816,0.01,4,Lasso,phits,8,12,5,0.35262383913564155,0.3333333333333333,1.0,0.891242862343067,0.35066346810103,0.4535720442016285,0.29163837101718626,0.4380034945014789,0.806677499386711,1.0,1.4798707620962699,0.0
pure_sparse,0.7748326123529816,0.01,4,Ridge,phits,8,12,5,73.66945066343581,0.6666666666666666,0.2857142857142857,12.882019308031795,0.9453622946906379,0.03759566539268858,125.97762721267462,0.4380034945014789,16.765801637667657,1.0,1.4798707620962699,0.0
pure_sparse,0.7748326123529816,0.01,4,OMP,phits,8,12,5,294.42380053608156,0.3333333333333333,0.25,25.75293236523854,1.2085664025680494,0.014843329673171729,504.4136555657816,0.4380034945014789,33.548339487825935,1.0,1.4798707620962699,0.0
pure_sparse,0.7545379815165902,0.01,5,EN,phits,8,12,5,0.9651792507235992,0.0,0.0,1.0,0.9779294943292182,0.0,0.0,2.316430201736638,0.0,1.0,3.4032559422828004,0.0
pure_sparse,0.7545379815165902,0.01,5,Lasso,phits,8,12,5,0.9651792507235992,0.0,0.0,1.0,0.9779294943292182,0.0,0.0,2.316430201736638,0.0,1.0,3.4032559422828004,0.0
pure_sparse,0.7545379815165902,0.01,5,Ridge,phits,8,12,5,0.9651792507235992,0.0,0.0,1.0,0.9779294943292182,0.0,4.163086781580091e-17,2.316430201736638,170.70913118828952,1.0,3.4032559422828004,0.0
